kod	nazev	strom
01.49	Chov ostatních zvířat	A/01/01.4/01.49/
01.50	Smíšené hospodářství	A/01/01.5/01.50/
01.61	Podpůrné činnosti pro rostlinnou výrobu	A/01/01.6/01.61/
01.62	Podpůrné činnosti pro živočišnou výrobu	A/01/01.6/01.62/
01.63	Posklizňové činnosti	A/01/01.6/01.63/
01.64	Zpracování osiva pro účely množení	A/01/01.6/01.64/
01.70	Lov a odchyt divokých zvířat a související činnosti	A/01/01.7/01.70/
02.10	Lesní hospodářství a jiné činnosti v oblasti lesnictví	A/02/02.1/02.10/
02.20	Těžba dřeva	A/02/02.2/02.20/
02.30	Sběr a získávání volně rostoucích plodů a materiálů, kromě dřeva	A/02/02.3/02.30/
02.40	Podpůrné činnosti pro lesnictví	A/02/02.4/02.40/
03.11	Mořský rybolov	A/03/03.1/03.11/
03.12	Sladkovodní rybolov	A/03/03.1/03.12/
03.21	Mořská akvakultura	A/03/03.2/03.21/
03.22	Sladkovodní akvakultura	A/03/03.2/03.22/
