kód	název	strom
2162	Zahradní a krajinní architekti	2/21/216/2162/
2164	Specialisté v oblasti územního a dopravního plánování	2/21/216/2164/
2212	Lékaři specialisté	2/22/221/2212/
2211	Praktičtí lékaři	2/22/221/2211/
2221	Všeobecné sestry se specializací	2/22/222/2221/
2222	Porodní asistentky se specializací	2/22/222/2222/
2230	Specialisté v oblasti tradiční a alternativní medicíny	2/22/223/2230/
2240	Nelékařští praktici	2/22/224/2240/
2250	Veterinární lékaři	2/22/225/2250/
2263	Specialisté v oblasti ochrany veřejného zdraví	2/22/226/2263/
2269	Specialisté v oblasti zdravotnictví jinde neuvedení	2/22/226/2269/
2267	Specialisté v oblasti oční optiky a optometrie	2/22/226/2267/
2266	Specialisté v oblasti audiologie a řečové terapie	2/22/226/2266/
2264	Fyzioterapeuti specialisté	2/22/226/2264/
2262	Farmaceuti	2/22/226/2262/
2261	Zubní lékaři	2/22/226/2261/
2265	Specialisté v oblasti dietetiky a výživy	2/22/226/2265/
2310	Učitelé na vysokých a vyšších odborných školách	2/23/231/2310/
2320	Učitelé odborných předmětů, praktického vyučování, odborného výcviku (kromě pro žáky se speciálními vzdělávacími potřebami) a lektoři dalšího vzdělávání	2/23/232/2320/
2330	Učitelé na středních školách (kromě odborných předmětů), konzervatořích a na 2. stupni základních škol	2/23/233/2330/
2341	Učitelé na 1. stupni základních škol	2/23/234/2341/
2342	Učitelé v oblasti předškolní výchovy	2/23/234/2342/
2355	Lektoři a učitelé umění na ostatních školách	2/23/235/2355/
2356	Lektoři a učitelé informačních technologií na ostatních školách	2/23/235/2356/
2359	Specialisté a odborní pracovníci v oblasti výchovy a vzdělávání jinde neuvedení	2/23/235/2359/
2353	Lektoři a učitelé jazyků na ostatních školách	2/23/235/2353/
2352	Učitelé a vychovatelé pro osoby se speciálními vzdělávacími potřebami	2/23/235/2352/
2351	Specialisté zaměření na metody výuky	2/23/235/2351/
2354	Lektoři a učitelé hudby na ostatních školách	2/23/235/2354/
2412	Finanční a investiční poradci a příbuzní specialisté	2/24/241/2412/
2413	Finanční analytici a specialisté v peněžnictví a pojišťovnictví	2/24/241/2413/
2411	Specialisté v oblasti účetnictví	2/24/241/2411/
2422	Specialisté v oblasti strategie a politiky organizací	2/24/242/2422/
2423	Specialisté v oblasti personálního řízení	2/24/242/2423/
2421	Specialisté v oblasti organizace a řízení práce	2/24/242/2421/
2424	Specialisté v oblasti vzdělávání a rozvoje lidských zdrojů	2/24/242/2424/
2431	Specialisté v oblasti reklamy a marketingu, průzkumu trhu	2/24/243/2431/
2432	Specialisté pro styk s veřejností	2/24/243/2432/
